Indicator;Sector;Service;Vehicle category;Scope;Geography;Fuel;Value;Time;Source;Primary source;Observation value;Unit;Metadata
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";18;2007;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";19;2008;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";20;2009;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";21;2010;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";22;2011;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  163,152   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";23;2012;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  218,708   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";24;2013;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  238,396   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";25;2014;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  248,832   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";26;2015;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  259,237   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";27;2016;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  270,185   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";28;2017;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  340,495   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";29;2018;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  297,951   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";30;2019;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";"  305,521   ";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";31;2020;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";32;1990;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";33;1991;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";34;1992;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";35;1993;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";36;1994;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";37;1995;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";38;1996;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";3;1997;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";6;1998;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";9;1999;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";12;2000;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";15;2001;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";18;2002;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";21;2003;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";24;2004;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";27;2005;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";30;2006;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";33;2007;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";36;2008;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";39;2009;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";42;2010;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";45;2011;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";48;2012;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";51;2013;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";54;2014;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";57;2015;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";60;2016;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";63;2017;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";66;2018;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";69;2019;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Armenia";"all";72;2020;"ATO";"-";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
