Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Table Filter,Ref_group,National Reference,Lower Bound,Upper Bound
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Women 30-49,2015,Estimated,114.6,,viz_women_age,,Women,11.18,113.2,116
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Women 50-69,2015,Estimated,128.8,,viz_women_age,,Women,11.18,126.7,130.8
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Women  18-69,2015,Estimated,115.5,,viz_women_age,,Women,11.18,114.4,116.6
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,,Men,10.19,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,,Women,11.18,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,,Men,10.19,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,,Women,11.18,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Total,Total,2015,Estimated,119.9,,viz_total,table_total,,,119,120.8
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age,18-29,2015,Estimated,12.8,75587445,viz_age,,Total,70,0,32.5
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age,30-49,2015,Estimated,15.3,28858189,viz_age,,Total,70,7.7,22.9
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age,50-69,2015,Estimated,34.4,118028139,viz_age,,Total,70,25.9,42.9
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age, 18-69,2015,Estimated,24.9,32615315,viz_age,,Total,70,18.9,30.8
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Rural 18-29,2015,Estimated,,18699118,viz_age_area,,Rural,13.49,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Rural 30-49,2015,Estimated,,92543948,viz_age_area,,Rural,13.49,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Rural 50-69,2015,Estimated,,86512772,viz_age_area,,Rural,13.49,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Rural  18-69,2015,Estimated,,23964038,viz_age_area,,Rural,13.49,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Urban 18-29,2015,Estimated,,16672247,viz_age_area,,Urban,4.917,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Urban 30-49,2015,Estimated,,107337632,viz_age_area,,Urban,4.917,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Urban 50-69,2015,Estimated,,69358525,viz_age_area,,Urban,4.917,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Age by Area,Urban  18-69,2015,Estimated,,63611605,viz_age_area,,Urban,4.917,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Area,Rural,2015,Estimated,22.2,16672247,viz_area,,Total,70,14.5,30
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Area,Urban,2015,Estimated,30.1,6076904,viz_area,,Total,70,20.7,39.3
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex,Men,2015,Estimated,20.4,63611605,viz_sex,table_total,Total,70,13.4,27.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex,Women,2015,Estimated,31.5,23964038,viz_sex,table_total,Total,70,22.2,40.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Men 18-29,2015,Estimated,9.4,86512772,viz_men_age,,Men,51.47,0,27.8
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Men 30-49,2015,Estimated,9.4,63611605,viz_men_age,,Men,51.47,3,16.1
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Men 50-69,2015,Estimated,33.7,23964038,viz_men_age,,Men,51.47,22.1,45.4
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Men  18-69,2015,Estimated,20.4,75587445,viz_men_age,,Men,51.47,13.4,27.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Women 18-29,2015,Estimated,28.8,18699118,viz_women_age,,Women,19.39,0,75.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Women 30-49,2015,Estimated,25.4,107337632,viz_women_age,,Women,19.39,9.5,41.3
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Women 50-69,2015,Estimated,35.2,92543948,viz_women_age,,Women,19.39,23.8,46.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Age,Women  18-69,2015,Estimated,31.5,69358525,viz_women_age,,Women,19.39,22.2,40.6
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Area,Rural Men,2015,Estimated,,118028139,viz_sex_area,,Men,51.47,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Area,Rural Women,2015,Estimated,,6076904,viz_sex_area,,Women,19.39,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Area,Urban Men,2015,Estimated,,28858189,viz_sex_area,,Men,51.47,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Sex by Area,Urban Women,2015,Estimated,,32615315,viz_sex_area,,Women,19.39,,
Percentage who are currently taking any medication for hypertension prescribed by a health worker,Under treatment,Total,Total,2015,Estimated,24.9,86512772,viz_total,table_total,,,18.9,30.8
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age,18-29,2015,Estimated,0,16672247,viz_age,,Total,95.5,0,0
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age,30-49,2015,Estimated,4.3,18699118,viz_age,,Total,95.5,1.4,7.3
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age,50-69,2015,Estimated,7.5,107337632,viz_age,,Total,95.5,4.3,10.7
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age, 18-69,2015,Estimated,5.8,92543948,viz_age,,Total,95.5,3.7,7.8
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Rural 18-29,2015,Estimated,,63611605,viz_age_area,,Rural,70,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Rural 30-49,2015,Estimated,,75587445,viz_age_area,,Rural,70,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Rural 50-69,2015,Estimated,,118028139,viz_age_area,,Rural,70,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Rural  18-69,2015,Estimated,,6076904,viz_age_area,,Rural,70,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Urban 18-29,2015,Estimated,,86512772,viz_age_area,,Urban,56.12,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Urban 30-49,2015,Estimated,,23964038,viz_age_area,,Urban,56.12,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Urban 50-69,2015,Estimated,,28858189,viz_age_area,,Urban,56.12,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Age by Area,Urban  18-69,2015,Estimated,,32615315,viz_age_area,,Urban,56.12,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Area,Rural,2015,Estimated,7.2,86512772,viz_area,,Total,95.5,4.6,9.7
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Area,Urban,2015,Estimated,4.3,69358525,viz_area,,Total,95.5,2.7,5.8
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex,Men,2015,Estimated,5.9,32615315,viz_sex,table_total,Total,95.5,2.9,8.9
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex,Women,2015,Estimated,5.6,6076904,viz_sex,table_total,Total,95.5,2.8,8.4
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Men 18-29,2015,Estimated,0,118028139,viz_men_age,,Men,26.39,0,0
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Men 30-49,2015,Estimated,4.5,32615315,viz_men_age,,Men,26.39,0.5,8.6
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Men 50-69,2015,Estimated,7.9,6076904,viz_men_age,,Men,26.39,2.7,13.2
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Men  18-69,2015,Estimated,5.9,16672247,viz_men_age,,Men,26.39,2.9,8.9
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Women 18-29,2015,Estimated,0,63611605,viz_women_age,,Women,4.917,0,0
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Women 30-49,2015,Estimated,4.1,23964038,viz_women_age,,Women,4.917,0,8.4
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Women 50-69,2015,Estimated,7.1,75587445,viz_women_age,,Women,4.917,3,11.3
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Age,Women  18-69,2015,Estimated,5.6,28858189,viz_women_age,,Women,4.917,2.8,8.4
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Area,Rural Men,2015,Estimated,,107337632,viz_sex_area,,Men,26.39,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Area,Rural Women,2015,Estimated,,69358525,viz_sex_area,,Women,4.917,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Area,Urban Men,2015,Estimated,,18699118,viz_sex_area,,Men,26.39,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Sex by Area,Urban Women,2015,Estimated,,92543948,viz_sex_area,,Women,4.917,,
Percentage who are currently taking herbal or traditional remedies for hypertension,Taking traditional remedies,Total,Total,2015,Estimated,5.8,118028139,viz_total,table_total,,,3.7,7.8
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age,18-29,2015,Estimated,0,69358525,viz_age,,Total,15.13,0,0
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age,30-49,2015,Estimated,8.3,86512772,viz_age,,Total,15.13,3.5,13
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age,50-69,2015,Estimated,9.1,63611605,viz_age,,Total,15.13,5.6,12.6
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age, 18-69,2015,Estimated,8,23964038,viz_age,,Total,15.13,5.3,10.7
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Rural 18-29,2015,Estimated,,118028139,viz_age_area,,Rural,23.35,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Rural 30-49,2015,Estimated,,6076904,viz_age_area,,Rural,23.35,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Rural 50-69,2015,Estimated,,18699118,viz_age_area,,Rural,23.35,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Rural  18-69,2015,Estimated,,92543948,viz_age_area,,Rural,23.35,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Urban 18-29,2015,Estimated,,28858189,viz_age_area,,Urban,61.16,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Urban 30-49,2015,Estimated,,32615315,viz_age_area,,Urban,61.16,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Urban 50-69,2015,Estimated,,16672247,viz_age_area,,Urban,61.16,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Age by Area,Urban  18-69,2015,Estimated,,107337632,viz_age_area,,Urban,61.16,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Area,Rural,2015,Estimated,9.6,28858189,viz_area,,Total,15.13,6.3,12.8
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Area,Urban,2015,Estimated,6.4,75587445,viz_area,,Total,15.13,4.2,8.5
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex,Men,2015,Estimated,8.9,107337632,viz_sex,table_total,Total,15.13,4.8,13
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex,Women,2015,Estimated,7.1,92543948,viz_sex,table_total,Total,15.13,3.3,10.9
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Men 18-29,2015,Estimated,0,18699118,viz_men_age,,Men,86.85,0,0
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Men 30-49,2015,Estimated,9.4,107337632,viz_men_age,,Men,86.85,2.2,16.6
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Men 50-69,2015,Estimated,10.3,92543948,viz_men_age,,Men,86.85,4.1,16.5
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Men  18-69,2015,Estimated,8.9,69358525,viz_men_age,,Men,86.85,4.8,13
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Women 18-29,2015,Estimated,0,118028139,viz_women_age,,Women,74.88,0,0
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Women 30-49,2015,Estimated,7.1,32615315,viz_women_age,,Women,74.88,0.6,13.6
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Women 50-69,2015,Estimated,8.2,6076904,viz_women_age,,Women,74.88,3.9,12.4
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Age,Women  18-69,2015,Estimated,7.1,16672247,viz_women_age,,Women,74.88,3.3,10.9
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Area,Rural Men,2015,Estimated,,63611605,viz_sex_area,,Men,86.85,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Area,Rural Women,2015,Estimated,,75587445,viz_sex_area,,Women,74.88,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Area,Urban Men,2015,Estimated,,86512772,viz_sex_area,,Men,86.85,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Sex by Area,Urban Women,2015,Estimated,,23964038,viz_sex_area,,Women,74.88,,
Percentage who had seen a traditional healer for hypertension,Seen a traditional healer,Total,Total,2015,Estimated,8,18699118,viz_total,table_total,,,5.3,10.7
Percentage who had their blood pressure measured,Measured,Age,18-29,2015,Estimated,67.4,32615315,viz_age,,Total,61.16,72.2,62.7
Percentage who had their blood pressure measured,Measured,Age,30-49,2015,Estimated,67.9,6076904,viz_age,,Total,61.16,70.6,65.3
Percentage who had their blood pressure measured,Measured,Age,50-69,2015,Estimated,79.3,16672247,viz_age,,Total,61.16,81.9,76.6
Percentage who had their blood pressure measured,Measured,Age, 18-69,2015,Estimated,70.5,18699118,viz_age,,Total,61.16,72.6,68.4
Percentage who had their blood pressure measured,Measured,Age by Area,Rural 18-29,2015,Estimated,,69358525,viz_age_area,,Rural,74.88,,
Percentage who had their blood pressure measured,Measured,Age by Area,Rural 30-49,2015,Estimated,,63611605,viz_age_area,,Rural,74.88,,
Percentage who had their blood pressure measured,Measured,Age by Area,Rural 50-69,2015,Estimated,,75587445,viz_age_area,,Rural,74.88,,
Percentage who had their blood pressure measured,Measured,Age by Area,Rural  18-69,2015,Estimated,,118028139,viz_age_area,,Rural,74.88,,
Percentage who had their blood pressure measured,Measured,Age by Area,Urban 18-29,2015,Estimated,,92543948,viz_age_area,,Urban,86.85,,
Percentage who had their blood pressure measured,Measured,Age by Area,Urban 30-49,2015,Estimated,,86512772,viz_age_area,,Urban,86.85,,
Percentage who had their blood pressure measured,Measured,Age by Area,Urban 50-69,2015,Estimated,,23964038,viz_age_area,,Urban,86.85,,
Percentage who had their blood pressure measured,Measured,Age by Area,Urban  18-69,2015,Estimated,,28858189,viz_age_area,,Urban,86.85,,
Percentage who had their blood pressure measured,Measured,Area,Rural,2015,Estimated,73.5,92543948,viz_area,,Total,61.16,75.4,71.6
Percentage who had their blood pressure measured,Measured,Area,Urban,2015,Estimated,67.6,107337632,viz_area,,Total,61.16,69.9,65.3
Percentage who had their blood pressure measured,Measured,Sex,Men,2015,Estimated,66.2,28858189,viz_sex,table_total,Total,61.16,69.3,63
Percentage who had their blood pressure measured,Measured,Sex,Women,2015,Estimated,74.7,118028139,viz_sex,table_total,Total,61.16,77.3,72.2
Percentage who had their blood pressure measured,Measured,Sex by Age,Men 18-29,2015,Estimated,62.4,75587445,viz_men_age,,Men,23.35,69.2,55.6
Percentage who had their blood pressure measured,Measured,Sex by Age,Men 30-49,2015,Estimated,62.9,28858189,viz_men_age,,Men,23.35,66.6,59.2
Percentage who had their blood pressure measured,Measured,Sex by Age,Men 50-69,2015,Estimated,77.9,118028139,viz_men_age,,Men,23.35,82,73.8
Percentage who had their blood pressure measured,Measured,Sex by Age,Men  18-69,2015,Estimated,66.2,32615315,viz_men_age,,Men,23.35,69.3,63
Percentage who had their blood pressure measured,Measured,Sex by Age,Women 18-29,2015,Estimated,72.6,69358525,viz_women_age,,Women,95.5,77.8,67.4
Percentage who had their blood pressure measured,Measured,Sex by Age,Women 30-49,2015,Estimated,72.9,86512772,viz_women_age,,Women,95.5,76.5,69.4
Percentage who had their blood pressure measured,Measured,Sex by Age,Women 50-69,2015,Estimated,80.5,63611605,viz_women_age,,Women,95.5,84.2,76.7
Percentage who had their blood pressure measured,Measured,Sex by Age,Women  18-69,2015,Estimated,74.7,23964038,viz_women_age,,Women,95.5,77.3,72.2
Percentage who had their blood pressure measured,Measured,Sex by Area,Rural Men,2015,Estimated,,16672247,viz_sex_area,,Men,23.35,,
Percentage who had their blood pressure measured,Measured,Sex by Area,Rural Women,2015,Estimated,,107337632,viz_sex_area,,Women,95.5,,
Percentage who had their blood pressure measured,Measured,Sex by Area,Urban Men,2015,Estimated,,6076904,viz_sex_area,,Men,23.35,,
Percentage who had their blood pressure measured,Measured,Sex by Area,Urban Women,2015,Estimated,,18699118,viz_sex_area,,Women,95.5,,
Percentage who had their blood pressure measured,Measured,Total,Total,2015,Estimated,70.5,75587445,viz_total,table_total,,,72.6,68.4
Percentage who had their blood pressure measured,Never measured,Age,18-29,2015,Estimated,32.6,107337632,viz_age,,Total,4.917,27.8,37.3
